ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
34,"Xã  Lệ Thủy",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,8.18,16.49,5.7,14.28
34,"Xã  Lệ Thủy",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,3.13,5.72,1.27,3.49
35,"Xã Trường Phú",D+1-3,"Mùa mưa (T9-T12)",255,111,3.2,5.42,8.92,3.68,6.73
35,"Xã Trường Phú",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,3.51,4.08,2.17,2.44
35,"Xã Trường Phú",D+4-7,"Mùa mưa (T9-T12)",340,148,2.2,6.99,12.15,5.16,10.26
35,"Xã Trường Phú",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,3.15,6.42,1.59,4.64
36,"Xã Tân Mỹ",D+1-3,"Mùa mưa (T9-T12)",255,111,2.2,5.86,8.31,0.59,3.79
36,"Xã Tân Mỹ",D+1-3,"Mùa khô (T1-T8)",1008,435,0.2,3.53,5.43,2.29,4.13
36,"Xã Tân Mỹ",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,7.36,11.04,2.15,7.29
36,"Xã Tân Mỹ",D+4-7,"Mùa khô (T1-T8)",1344,580,0.2,3.14,6.75,1.74,5.3
37,"Xã Sen Ngư",D+1-3,"Mùa mưa (T9-T12)",255,111,2.1,6.17,9.15,0.41,5.3
37,"Xã Sen Ngư",D+1-3,"Mùa khô (T1-T8)",1008,435,0.2,3.48,5.36,2.24,4.09
37,"Xã Sen Ngư",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,8.75,13,2.79,8.83
37,"Xã Sen Ngư",D+4-7,"Mùa khô (T1-T8)",1344,580,0.2,3.08,7.16,1.6,5.6
38,"Xã Kim Ngân",D+1-3,"Mùa mưa (T9-T12)",255,111,2.6,4.7,7.63,3.36,6.81
38,"Xã Kim Ngân",D+1-3,"Mùa khô (T1-T8)",1008,435,0.9,3.89,4,1.56,1.09
38,"Xã Kim Ngân",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,6.37,10.21,4.04,8.65
